feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
activity_centroid_vol,35,2,0.055567266467852997,0.95,1.4452096726199097,0.057994537699814754
breakout_vol_confirm_20,159,3,0.048174365015469095,0.8666666666666667,1.8883313385338518,0.05787933716194599
atr_14_z,191,2,0.0747800394473548,0.7,0.7188646583574594,0.057507989198764986
fib_time_vol_pct,35,3,0.045955817336915804,0.9,1.1678822988835538,0.057337461391339876
fib_time_vol_surprise,35,3,0.045955817336915804,0.9,1.1678822988835538,0.057337461391339876
volume_ramp,35,2,0.05783505441005765,0.9,1.355616705028454,0.05718447134161029
busiest_vol_quartile,35,2,0.06086577166186205,0.8500000000000001,1.1390791388219854,0.05683770200094053
front_back_vol_ratio,35,2,0.05394579637105015,0.95,1.3271204085651447,0.05630223907446206
volume_acceleration,35,2,0.05394579637105015,0.95,1.3271204085651447,0.05630223907446206
first_half_volume_pct,35,2,0.05394579637105015,0.95,1.3271204085651447,0.05630223907446206
sample_entropy_z,136,3,0.045019786708043234,0.9,1.8380889101706686,0.05616960880696248
front_back_vol_ratio_z,35,2,0.053778251696158796,0.95,1.2981784544088955,0.05612737576766234
zero_crossing_rate_z,141,4,0.03972541947460308,0.875,1.648511111298768,0.055943646666052366
rle_compression_ratio_z,141,4,0.039708024045419996,0.875,1.647685182165754,0.05591914941072584
activity_ramp_z,35,3,0.04633472297953364,0.8666666666666667,1.36327820858071,0.05566908983183574
breakout_up_count_10,106,3,0.04628440866226047,0.8666666666666667,1.4880527530151195,0.055608639438092265
trade_size_p75_z,198,5,0.03693779774684506,0.8399999999999999,1.0968211839109474,0.05559426506368588
buy_centroid_z,35,2,0.056119248542895156,0.9,1.205716576103179,0.05548796647204008
activity_centroid_z,35,2,0.05311028347332985,0.95,1.4269077142000337,0.05543022957452464
dist_to_support_20_bps,105,4,0.0417325073509744,0.825,0.9348252091975087,0.0554118505970642
volume_acceleration_z,35,2,0.05250037489648619,0.95,1.288001619331938,0.054793679169914344
