feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
taylor_asymmetry_curvature_ratio,21,5,0.05507143959653922,0.8400000000000001,1.0399885595284328,0.08288680964014081
simpson_diversity_z,200,7,0.04286209714940083,0.9285714285714286,1.630882113210956,0.08276285213483946
median_trade_size,131,6,0.047144317234179035,0.9,1.4432703247796779,0.08256474483864508
hour_sin,30,4,0.05185003675524742,0.975,2.1631339322618723,0.08136317954212187
fvg_bearish_count_10,107,3,0.06989967293192507,0.8333333333333334,1.0765376245554361,0.08075126869137698
liq_pool_below_20,145,7,0.04164327839406895,0.9142857142857143,1.1932379300645095,0.07917235476513401
permutation_entropy,124,4,0.05133005870973395,0.95,1.6115864398585398,0.0784819154081683
auction_clearing_speed_z,17,6,0.0473236625772566,0.8500000000000001,0.8276955228836339,0.07827445600461984
hilbert_std_freq,121,6,0.046911670467312316,0.8333333333333334,1.2366721186802412,0.07607157972623455
vpin,135,5,0.041936465401211695,1.0,2.4116898778013693,0.07514005898857576
max_buy_run,182,5,0.04555345422670441,0.9199999999999999,1.4629844610963598,0.07509116632940484
fib_wave_avg_dist_z,14,4,0.05608772638617547,0.825,1.0984091016595139,0.07447251344621653
tortuosity_z,211,7,0.04096821101008263,0.8714285714285713,1.3817129091264555,0.07423787130889904
hour_cos,28,7,0.040230006062122514,0.8857142857142859,1.7774321830885036,0.07409526630445386
busiest_quartile,35,4,0.05078049405901193,0.9,1.1859156067340972,0.07355524711563756
donchian_mid_dist_bps_20,105,3,0.052724060214180496,1.0,2.2438662757034926,0.073091067370264
atr_5,177,5,0.0483267398232105,0.8400000000000001,1.0501150098592045,0.0727355107039327
aggression_imbalance,70,3,0.055510781517425,0.9333333333333332,1.5264103334708243,0.07182399783903354
dist_to_swing_high_bps,101,6,0.0413801754263576,0.8833333333333334,1.4066565014089478,0.07112785794312404
golden_ratio_composite_z,40,5,0.04493262515296868,0.8800000000000001,1.2865063796092595,0.07084744180369357
atr_percentile_10,191,2,0.08031391697344034,0.8,0.753779260523352,0.07058708491047347
lower_wick_rejection_z,210,5,0.04274463619283716,0.9200000000000002,1.5330392719842107,0.07046105812464629
consecutive_direction_z,44,4,0.04467921613137138,0.975,1.5978239879378222,0.07011071373117467
median_trade_size_z,199,5,0.04070650453937123,0.96,1.6417193910423529,0.07001881436888947
turbulence,166,4,0.047898827864158874,0.9,1.1947951596266606,0.06938117057315896
mi_side_return,144,5,0.050782129147070566,0.76,0.836794907179144,0.06915191418278753
dist_to_swing_low_bps,99,3,0.0498034445537166,1.0,2.141295276327432,0.06904223434916446
predator_follows_prey,9,5,0.04273819622184416,0.9,1.3491146027660792,0.06891891100039436
hurst_regime_z,204,5,0.043452938921231976,0.86,1.4171166058645348,0.06695720470899891
ew_first_wave_pct,25,4,0.0421685085295552,0.975,2.5370857955224677,0.06617090642981019
volume_skewness,162,4,0.05101752647545172,0.8,1.1395863045236057,0.06568763304656197
max_sell_run,181,4,0.04204055187984632,0.95,2.033116242274209,0.06427857515232348
