target,type,SOLUSDT_4h,XRPUSDT_4h,DOGEUSDT_4h,SOLUSDT_1h,DOGEUSDT_1h,avg_4h,avg_1h,delta_1h_vs_4h,ratio_1h_vs_4h
tgt_liquidation_cascade_5,binary,0.18765062075577152,0.09867405546043358,0.07063996110594221,0.20377765956602167,0.18121396494277842,0.11898821244071578,0.19249581225440004,0.07350759981368427,1.6177721162952037
tgt_liquidation_cascade_3,binary,0.18488945416111532,0.08596165497777093,0.0857248721756495,0.18560228405692003,0.16322939165260275,0.1188586604381786,0.1744158378547614,0.055557177416582795,1.4674222072818959
tgt_max_drawup_long_10,continuous,0.1305355976942069,0.13071135577163143,0.08910989716651933,0.16498764338239408,0.1842225829713108,0.11678561687745255,0.17460511317685246,0.057819496299399906,1.495090901134444
tgt_ret_magnitude_5,continuous,0.13715401748875736,0.106600560180087,0.1026579677796301,0.20450175184764124,0.22448770061070233,0.11547084848282481,0.2144947262291718,0.09902387774634698,1.8575660354749697
tgt_crash_3,binary,0.16701500323065607,0.07516358091747992,0.06900397905912374,0.13813690638957254,0.01873165883058281,0.10372752106908657,0.07843428261007768,-0.025293238459008896,0.7561569176789387
tgt_tail_event_1,binary,0.15003254043314607,0.05037805289602267,0.0806621177781222,0.11025019747761178,0.0754317334632546,0.09369090370243031,0.09284096547043319,-0.0008499382319971244,0.9909282737340586
tgt_regime_change_5,binary,0.0959830813683974,0.04651350354857472,0.12724060285499153,0.11029973756103661,0.20317583657762373,0.08991239592398788,0.15673778706933017,0.06682539114534229,1.7432277880998368
tgt_best_side_3,continuous,0.07768852448553477,0.10453011970286595,0.05759843982222467,0.00872115294075389,0.03080596555693302,0.0799390280035418,0.019763559248843456,-0.06017546875469834,0.2472329191689422
tgt_autocorr_break_5,binary,0.0897472558324404,0.06997800223829793,0.05724644705154843,0.06287346711259756,0.09758184462767794,0.07232390170742893,0.08022765587013775,0.007903754162708818,1.109282740229942
tgt_max_drawup_short_10,continuous,0.08819419169495857,-0.014022416936106502,0.12678184601294276,0.2495068607054107,0.28394653844968665,0.06698454025726494,0.2667266995775487,0.19974215932028375,3.981914312662918
tgt_regime_change_10,binary,0.06630106438550658,-0.0716189487492378,0.17831874540591375,0.1547448394495412,0.29673483222234776,0.057666953680727516,0.22573983583594448,0.16807288215521696,3.9145441440473987
tgt_ret_2,continuous,0.030932218179380994,-0.011054907695856634,0.08012817965980638,-0.005508484819738058,-0.004827830572144567,0.03333516338111025,-0.005168157695941313,-0.03850332107705156,-0.15503621916759253
tgt_ret_sign_10,continuous,0.020859986909678944,0.047204702533342545,0.023170472025198393,0.003386671599108248,0.01046927461405956,0.03041172048940663,0.0069279731065839045,-0.023483747382822724,0.22780602330595331
tgt_best_short_entry_pct,continuous,0.02667012684279284,-0.008088793429372177,0.07083070435537696,0.013571510240741248,0.06084308295396064,0.029804012589599208,0.03720729659735095,0.00740328400775174,1.248398902177866
tgt_recovery_time_5,continuous,0.01286348706628978,0.0427545596121451,0.02998369799055781,0.048379179599858234,0.03480934608634458,0.028533914889664228,0.04159426284310141,0.01306034795343718,1.4577131460558186
tgt_optimal_action_5,continuous,0.029290339385248537,0.026737763666716496,0.029537465719024113,0.014153998755400465,0.007307950041361414,0.02852185625699638,0.01073097439838094,-0.01779088185861544,0.37623688660686816
tgt_optimal_action_1,continuous,0.025812196684619648,0.07357713818069941,-0.02812235216668592,-0.008269203111067549,0.002750464686183925,0.02375566089954438,-0.0027593692124418118,-0.026515030111986193,-0.11615628056446684
tgt_ret_risk_adj_1,continuous,0.017712008073498046,-0.018400331743499757,0.060906182772882116,-0.017955825944172964,0.024899200184980454,0.020072619700960134,0.0034716871204037453,-0.016600932580556386,0.1729563540845485
tgt_pnl_short_bps_3,continuous,0.06162892648237248,0.01407633365080842,-0.021035598229979944,-0.03508921458605926,0.03082985659964056,0.018223220634400322,-0.0021296789932093493,-0.020352899627609673,-0.1168662244690773
