timestamp,datetime,event_price,direction,flow_impact,imbalance,max_run,ret_5s,price_5s,ret_15s,price_15s,ret_30s,price_30s,ret_60s,price_60s,ret_120s,price_120s,ret_300s,price_300s,classification
1754035539557,2025-08-01 08:05:39,166.73,Sell,202.69170442663017,0.7431208594680343,764,-13.794757991964145,166.96,1.1995441732130878,166.71,11.995441732141105,166.53,33.58723684999714,166.17,-23.39111137767737,167.12,-53.37971570803184,167.62,Continuation
1754035539557,2025-08-01 08:05:39,166.65,Sell,206.25723248518733,0.7475614784571918,764,-18.601860186018737,166.96,-3.6003600360037367,166.71,7.200720072007473,166.53,28.802880288029893,166.17,-28.20282028202813,167.12,-58.20582058205814,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.6,Sell,207.96061345416612,0.7496291727493513,764,-21.608643457383774,166.96,-6.602641056423388,166.71,4.201680672268498,166.53,25.810324129652273,166.17,-31.212484993998213,167.12,-61.22448979591898,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.56,Sell,211.55036598117908,0.7538776613097222,764,-24.015369836695825,166.96,-9.005763688761148,166.71,1.8011527377522296,166.53,23.414985590778986,166.17,-33.62151777137382,167.12,-63.64073006724317,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.55,Sell,223.57947019867663,0.7671196251614512,764,-24.617232062443506,166.96,-9.606724707294902,166.71,1.2008405884125026,166.53,22.81597117982731,166.17,-34.22395676973841,167.12,-64.24497148003562,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.53,Sell,224.9090275357281,0.7684963053881828,764,-25.821173362157378,166.96,-10.80886326788007,166.71,-0.0,166.53,21.61772653576014,166.17,-35.42905182249465,167.12,-65.45367201104926,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.51,Sell,226.51359358661705,0.7701362200756315,764,-27.025403879647893,166.96,-12.01129061317741,166.71,-1.201129061318253,166.53,20.41919404240006,166.17,-36.634436370188794,167.12,-66.66266290312977,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.5,Sell,228.51028232833912,0.7721447354773378,764,-27.627627627628105,166.96,-12.612612612613091,166.71,-1.8018018018018702,166.53,19.819819819820573,166.17,-37.23723723723751,167.12,-67.26726726726754,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.5,Sell,229.2540955036617,0.7728840101561443,764,-27.627627627628105,166.96,-12.612612612613091,166.71,-1.8018018018018702,166.53,19.819819819820573,166.17,-37.23723723723751,167.12,-67.26726726726754,167.62,Exhaustion
1754035539557,2025-08-01 08:05:39,166.48,Sell,231.088706866506,0.774687082150882,764,-28.832292167228392,166.96,-13.815473330130837,166.71,-3.003363767420193,166.53,18.620855358001098,166.17,-38.44305622297062,167.12,-68.47669389716572,167.62,Exhaustion
