vol_1m,vol_range,vol_expanding,vol_ratio,vwap_distance,drift_5m,trend_slope,high_5m,low_5m,range_5m,price_position,trade_rate,volume_5m,buy_imbalance,timestamp,datetime,classification,ret_30s,flow_impact,imbalance,direction,hour
,15.923566878980955,False,1.0,-107.98108115239468,-109.75887170154725,0.3540958048659529,175.95,175.67,16.100281754930776,-6.285714285714228,26.96636523323141,10807.1,0.31284063254712174,1753902268456,2025-07-30 19:04:28,Continuation,16.67529181760635,128.27835546312306,0.6342789586315865,Sell,19
,15.923566878980955,False,1.0,-105.70587698498726,-107.48407643312186,0.3540143801335894,175.95,175.67,16.096579476861233,-6.142857142857114,26.96636523323141,10807.1,0.31284063254712174,1753902268638,2025-07-30 19:04:28,Continuation,19.545846507615693,128.54951207806468,0.6249553550872711,Sell,19
25.77395143791075,35.46142654697513,True,2.1010429043999745,-52.35372136651305,-130.76923076923126,-0.41877830737878113,169.11,166.61,149.88908207926136,0.07199999999999136,56.620255527993386,232616.49999999997,-0.47808345495697846,1754035539141,2025-08-01 08:05:39,Continuation,15.588464536242636,167.98204949459648,0.7075261365251497,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-50.08163308861835,-131.36094674556207,-0.4254204031214296,169.11,166.57,152.29643842187434,0.08267716535433317,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Continuation,15.589399208537648,168.34175670965402,0.7083643478665945,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-53.06458019466034,-134.31952662721955,-0.4255479807628624,169.11,166.57,152.34210999820192,0.06299212598425012,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Continuation,12.595213818747649,171.93081212966104,0.7144522416245053,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-56.644116721910045,-137.86982248520783,-0.4257011749720528,169.11,166.57,152.39695206096002,0.039370078740154926,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Exhaustion,8.999820003598565,176.51655629138992,0.7218705200759814,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-59.62706382795034,-140.82840236686363,-0.4258289210934583,169.11,166.57,152.44268395150763,0.019685039370083056,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Exhaustion,6.001680470531408,180.26333217148755,0.7276514452057358,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-60.82024267036746,-142.01183431952697,-0.42588004101195703,169.11,166.57,152.46098439375874,0.011811023622047596,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Exhaustion,4.801920768306368,185.6118856744503,0.7354993845307345,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-62.0134215127829,-143.1952662721886,-0.42593117320561913,169.11,166.57,152.479289230401,0.003937007874023325,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Exhaustion,3.6018729739465885,187.39909376089184,0.7380219028062956,Sell,8
30.266350052482323,35.858464642780625,True,2.146959564391717,-62.0134215127829,-143.1952662721886,-0.42593117320561913,169.11,166.57,152.479289230401,0.003937007874023325,57.8485397019065,244356.5,-0.5031587045975858,1754035539186,2025-08-01 08:05:39,Exhaustion,3.6018729739465885,187.4111188567445,0.7380387124371718,Sell,8
