timestamp,datetime,flow_impact,flow_direction,flow_imbalance,burst_ratio,price,date
1747001175374,2025-05-11 22:06:15.374,1.32298769496042,Sell,0.8178881051101178,1.0,171.84,2025-05-11
1747001175833,2025-05-11 22:06:15.833,1.3965828042950075,Sell,1.0,1.0,171.81,2025-05-11
1747001176773,2025-05-11 22:06:16.773,1.8143627037205379,Sell,0.9926549240533408,0.7666666666666667,171.87,2025-05-11
1747001204035,2025-05-11 22:06:44.035,0.8034005468215992,Buy,0.9996810037747887,0.9666666666666667,172.35,2025-05-11
1747001204226,2025-05-11 22:06:44.226,0.6423872180451127,Buy,1.0,1.0,172.45,2025-05-11
1747001204323,2025-05-11 22:06:44.323,1.0451127819548873,Buy,0.9998365078067524,1.0,172.45,2025-05-11
1747001204982,2025-05-11 22:06:44.982,0.6085953520164045,Buy,1.0,1.0,172.54,2025-05-11
1747001205220,2025-05-11 22:06:45.220,2.3430563625798952,Buy,0.9396796382702391,1.0,172.47,2025-05-11
1747001205564,2025-05-11 22:06:45.564,1.8460197559558396,Buy,0.8167781780751415,0.6,172.46,2025-05-11
1747001206095,2025-05-11 22:06:46.095,1.1555867168079546,Buy,0.9995588397485385,1.0,172.52,2025-05-11
1747001206560,2025-05-11 22:06:46.560,1.1341704378864172,Buy,0.9995505112934037,1.0,172.53,2025-05-11
1747001206599,2025-05-11 22:06:46.599,1.25852508126713,Buy,0.9939409240090886,0.9666666666666667,172.54,2025-05-11
1747001206599,2025-05-11 22:06:46.599,0.9843202243610172,Buy,1.0,1.0,172.58,2025-05-11
1747001207133,2025-05-11 22:06:47.133,2.375146541617819,Buy,0.9810548187985089,1.0,172.54,2025-05-11
1747001286606,2025-05-11 22:08:06.606,5.739671760045275,Buy,0.7329346433148228,0.7666666666666667,172.34,2025-05-11
1747001308520,2025-05-11 22:08:28.520,2.483507477975825,Sell,0.9294866693195385,0.9666666666666667,172.29,2025-05-11
1747001327103,2025-05-11 22:08:47.103,0.9327011063971382,Sell,0.9534802683160554,1.0,172.06,2025-05-11
1747001341872,2025-05-11 22:09:01.872,1.3542960662525882,Buy,0.7939664038395612,1.0,172.3,2025-05-11
1747001359313,2025-05-11 22:09:19.313,0.866026466799391,Buy,0.7257876312718786,0.8333333333333334,172.24,2025-05-11
1747001468958,2025-05-11 22:11:08.958,1.646293375394322,Sell,0.9208649643432253,0.9,172.27,2025-05-11
1747001514176,2025-05-11 22:11:54.176,0.7769755711601225,Buy,1.0,1.0,172.22,2025-05-11
1747001624047,2025-05-11 22:13:44.047,1.1382786249676917,Buy,0.9728236523816634,1.0,172.35,2025-05-11
1747001648553,2025-05-11 22:14:08.553,1.7539375648401392,Buy,1.0,1.0,172.33,2025-05-11
1747001648559,2025-05-11 22:14:08.559,1.9397340375365453,Buy,1.0,1.0,172.4,2025-05-11
1747001648575,2025-05-11 22:14:08.575,1.4183721588229743,Buy,1.0,1.0,172.44,2025-05-11
1747001648624,2025-05-11 22:14:08.624,1.3457512024898608,Buy,0.9900976290097631,1.0,172.5,2025-05-11
1747001786317,2025-05-11 22:16:26.317,2.7032763239233457,Sell,0.9084957812045387,0.7666666666666667,172.16,2025-05-11
