event_idx,timestamp,datetime,event_price,direction,flow_impact,imbalance,max_run,ret_5s,price_5s,ret_15s,price_15s,ret_30s,price_30s,ret_60s,price_60s,ret_120s,price_120s,ret_300s,price_300s,classification
1647,1747033705001,2025-05-12 07:08:25.001,175.7,Sell,116.55977093772742,0.7321044744955039,439,-93.91007398975559,177.35,-103.58565737051916,177.52,-84.8036425725674,177.19,-112.69208878770736,177.68,-154.80933409220256,178.42,-161.6391576550941,178.54,Reversal
1648,1747033705001,2025-05-12 07:08:25.001,175.66,Sell,116.6284001431678,0.7322621158335814,439,-96.20858476602515,177.35,-105.88637139929486,177.52,-87.1000796994194,177.19,-114.99487646590062,177.68,-157.121712398952,178.42,-163.95309119890675,178.54,Reversal
1649,1747033705005,2025-05-12 07:08:25.005,176.08,Sell,116.7906227630676,0.7302712426412741,439,-72.1263062244424,177.35,-81.78100863243967,177.52,-63.039527487504834,177.19,-90.86778736937723,177.68,-132.89413902771324,178.42,-139.70922308041682,178.54,Reversal
1650,1747033705005,2025-05-12 07:08:25.005,175.75,Sell,117.19121331424876,0.7311428547432398,439,-91.0384068278802,177.35,-100.7112375533434,177.52,-81.93456614509233,177.19,-109.81507823613126,177.68,-151.9203413940249,178.42,-158.7482219061162,178.54,Reversal
1651,1747033705007,2025-05-12 07:08:25.007,176.07,Sell,118.02397995705483,0.730363689846228,439,-72.69835860737214,177.35,-82.35360935991464,177.52,-63.611063781450824,177.19,-91.44090418583595,177.68,-133.46964275572185,178.42,-140.28511387516323,178.54,Reversal
1652,1747033705008,2025-05-12 07:08:25.008,175.63,Sell,118.9126700071623,0.7292621041289251,439,-97.93315492797352,177.35,-107.61259465922763,177.52,-88.82309400444129,177.19,-116.72265558275986,177.68,-158.85668735409624,178.42,-165.6892330467458,178.54,Reversal
1653,1747033705008,2025-05-12 07:08:25.008,175.59,Sell,119.13287401575224,0.7297625333382476,439,-100.23349849080192,177.35,-109.9151432313917,177.52,-91.12136226436553,177.19,-119.02727945782809,177.68,-161.1709095050962,178.42,-168.0050116749239,178.54,Reversal
1654,1747033705008,2025-05-12 07:08:25.008,175.55,Sell,119.27317465999008,0.7300804127841325,439,-102.53489034463018,177.35,-112.2187410994018,177.52,-93.42067786955205,177.19,-121.33295357447993,177.68,-163.4861862717161,178.42,-170.32184562802507,178.54,Reversal
1655,1747033705008,2025-05-12 07:08:25.008,175.52,Sell,119.47217251253134,0.730530002149465,439,-104.26162260710939,177.35,-113.94712853236098,177.52,-95.1458523245207,177.19,-123.06289881494965,177.68,-165.22333637192213,178.42,-172.06016408386407,178.54,Reversal
1656,1747033705008,2025-05-12 07:08:25.008,175.5,Sell,119.51055833930307,0.7306165537378887,439,-105.41310541310509,177.35,-115.09971509971568,177.52,-96.29629629629616,177.19,-124.21652421652462,177.68,-166.3817663817657,178.42,-173.21937321937278,178.54,Reversal
1657,1747033705008,2025-05-12 07:08:25.008,175.47,Sell,120.25885826772128,0.7322927680015084,439,-107.14082179289882,177.35,-116.82908759332145,177.52,-98.02245398073738,177.19,-125.94745540548287,177.68,-168.11990653672927,178.42,-174.95868239585076,178.54,Reversal
